dates,cases,deaths,recoveries
2020-07-25,1968,18,1250
2020-07-26,2036,35,358
2020-07-27,1592,13,336
2020-07-28,1633,2,171
2020-07-29,1813,15,379
2020-07-30,3888,21,38068
2020-07-31,3980,40,114
2020-08-01,4878,16,87
2020-08-02,4953,20,292
2020-08-03,3145,45,264
2020-08-04,6263,11,228
2020-08-05,3387,8,221
2020-08-06,3480,27,567
2020-08-07,3294,18,15
2020-08-08,4131,41,265
2020-08-09,3028,61,556
2020-08-10,6725,24,486
2020-08-11,2900,18,273
2020-08-12,4211,92,565
2020-08-13,3777,22,1390
2020-08-14,6134,16,1018
2020-08-15,4258,158,804
2020-08-16,3335,65,40377
2020-08-17,3221,16,173
2020-08-18,4739,6,102
2020-08-19,4561,108,620
2020-08-20,4248,88,633
2020-08-21,4343,57,405
2020-08-22,4884,26,402
2020-08-23,2352,32,16446
2020-08-24,4651,12,675
2020-08-25,2912,28,354
2020-08-26,5197,99,1064
2020-08-27,3220,97,530
2020-08-28,3963,91,484
2020-08-29,3587,94,627
2020-08-30,4265,101,22302
2020-08-31,3423,38,159
2020-09-01,3445,39,450
2020-09-02,2176,26,598
2020-09-03,1963,65,865
2020-09-04,3669,49,1074
2020-09-05,2498,53,1119
2020-09-06,2795,85,23019
2020-09-07,1362,15,219
2020-09-08,3260,26,272
2020-09-09,3156,70,365
2020-09-10,3804,80,515
2020-09-11,4017,42,548
2020-09-12,4899,184,510
2020-09-13,3353,79,20452
2020-09-14,4672,259,-64
2020-09-15,3519,33,-152
2020-09-16,3527,69,506
2020-09-17,3355,53,238
2020-09-18,3237,45,694
2020-09-19,3934,100,1095
2020-09-20,3283,54,19980
2020-09-21,3447,15,368
2020-09-22,1599,50,410
2020-09-23,2802,42,730
2020-09-24,2164,36,555
2020-09-25,2606,69,471
2020-09-26,1895,88,507
2020-09-27,2970,60,19604
2020-09-28,3062,37,155
2020-09-29,2015,67,265
2020-09-30,2391,56,558
